year,city_types,id_city,city_population,cpi,rev_total,own_source_rev,rev_utility,spending_direct,education_services,social_services,transportation,public_safety,envir_housing,spending_utility,sp_empl_retire_tr,debt_outstanding,cash_holdings
1998,core,32002001,252700,1.503804,5824.81,2686.05,664.92,5474.16,2222.05,195.24,387.31,433.58,259.18,717.22,73.4,7767.07,4926.61
1999,core,32002001,257232,1.471308,5769.01,2803.6,630.6,6144.91,2489.66,195.96,807.52,553.42,375.82,582.16,75.39,7359.16,4767.72
2000,core,32002001,259348,1.423461,5523.35,2707.81,638.59,5933.36,2426.51,195.6,784.01,550.13,369.85,524.34,77.73,6612.61,4753.5
2001,core,32002001,260816,1.384077,4831.29,2212.37,590.22,5849.9,2281.82,138.03,934.98,815.6,412.74,485.35,83.79,6656.83,5191.43
2002,core,32002001,264274,1.362535,4914.64,2382.39,589.27,6047.58,2455.38,165.42,1044.71,943.84,429.18,581.74,91.6,7068.02,4855.24
2003,core,32002001,268229,1.332174,4463.29,2291.72,568.45,4954.25,2590.59,176.95,287.39,572.07,275.83,508.14,97.93,7139.84,4955.58
2004,core,32002001,270568,1.297618,5007.39,2397.4,588.57,5387.61,2627.83,143.11,387.61,578.01,354.11,656.61,100.86,6579.41,4858.72
2005,core,32002001,274484,1.255095,4944.86,2467.82,656.46,5192.27,2636.72,108.67,366.63,596.25,381.41,697.4,101.74,6889.49,5347.65
2006,core,32002001,276494,1.215873,5198.61,2677.22,706.16,5399.68,2632.71,115.17,434.31,620.96,348.25,793.94,105.37,7310.15,5217.82
2007,core,32002001,280085,1.182201,5708.19,2853.82,663.44,5592.84,2416.47,102.82,487.07,653.28,543.07,890.11,105.74,7006.76,4856.99
2008,core,32002001,278792,1.138489,5371.8,2765.57,591.52,6142.93,2786.04,102.27,562.18,722.8,596.42,774.77,109.31,7275.94,5219.36
2009,core,32002001,281554,1.142553,5060.77,2679.42,626.07,6670.41,2891.44,105.32,995.53,769,530.18,807.75,111.14,7325.78,4061.91
2010,core,32002001,287677,1.124115,6036.69,2777.23,665.42,6294.83,2880.31,103.9,535.51,761.43,544.35,849.19,109.05,7432.94,4213.34
2011,core,32002001,293310,1.089718,5815.54,2660.26,678.05,5947.01,2787.14,93.42,500.99,753.41,388.52,905.81,106.1,6994.68,4268.22
2012,core,32002001,296154,1.067624,5378.15,2612.44,684.79,5543.06,2429.79,96.7,337.31,807.1,303.17,993.67,98.95,6452.46,3904.58
2013,core,32002001,298233,1.052211,5694.68,2797.57,633.37,5734.24,2471.81,128.83,452.68,789.53,274.11,866.97,105.22,5894.61,3455.22
2014,core,32002001,301155,1.035415,5735.87,2684.18,622.68,5582.35,2456.47,81.63,472.67,841.07,339.45,753.81,101.82,4542.44,3217.83
2015,core,32002001,299927,1.034187,6054.78,2807.2,709.19,6357.67,2729.98,88.45,545.61,868.29,414.08,988.01,109.3,5055.71,3879.6
2016,core,32002001,297613,1.021304,5778.73,2741.62,790.06,6014.58,2463.58,84.66,502.86,899.21,338.54,1067.18,112.44,5204.9,3091.96
2017,core,32002001,297216,1,5694.71,2731.62,783.29,6103.91,2366.46,76.03,536.53,864.24,402.07,1301.85,107.33,5279.44,3352.85
1998,core,32006001,30355,1.503804,9604.78,5603.77,1467.28,8038.41,2234.29,17.03,359.9,567.19,735.44,1657.54,0,4740.66,5391.04
1999,core,32006001,30658,1.471308,4416.65,2099.49,18.74,5042.28,2325.74,16.2,283.93,472.04,285.59,52.57,0,2763.37,2096.17
2000,core,32006001,30286,1.423461,4831.96,2162.13,18.11,4686.6,2339.18,17.87,250.51,485.14,277.69,48.1,0,2421.33,1948.96
2001,core,32006001,30200,1.384077,4536.97,2131.04,18.69,4543.76,2310.85,17.86,222.73,629.33,262.28,34.42,0,2338.47,2247.89
2002,core,32006001,30464,1.362535,4377.14,2096.89,19.28,4724.39,2237.64,18.21,219.19,785.94,259.91,32.8,0,2428.63,2242.68
2003,core,32006001,30529,1.332174,4390.33,2288.32,18.29,4495.54,2219.43,16.47,298.42,659.01,311.64,46.64,0,2079.85,4238.38
2004,core,32006001,30469,1.297618,4497.06,2610.31,17.86,4210.14,2232,14.99,315.39,536.28,335.54,34.89,0,2586.54,6179.21
2005,core,32006001,30839,1.255095,4336.73,2387.14,18.03,4117.73,2237.7,51.5,297.06,499.43,256.49,75.95,0,2406.84,6326.67
2006,core,32006001,30946,1.215873,4545.29,2465.41,17.12,4810.72,2241.68,40.98,461.99,681.43,263.01,106.12,0,2449.29,5951.28
2007,core,32006001,30636,1.182201,5143.96,2929.43,5.14,4723.77,2339.67,45.65,354.67,594.11,218.33,154.13,0,2302.06,6506.04
2008,core,32006001,31184,1.138489,5009.22,2722.98,16.71,5114,2542.65,45.64,363.95,523.59,453.36,108.8,0,2244.45,6501.03
